year,date,stage,course,type,distance_in_km,winner_name,country,stage_workload
1908,1908-07-29,9,Toulouse to Bayonne,Flat,299.0,Lucien Petit-Breton,Francia,59.800000000000004
1908,1908-07-31,10,Bayonne to Bordeaux,Flat,269.0,Georges Paulmier,Francia,53.800000000000004
1908,1908-08-02,11,Bordeaux to Nantes,Flat,391.0,Lucien Petit-Breton,Francia,78.2
1908,1908-08-04,12,Nantes to Brest,Flat,321.0,François Faber,Luxemburgo,64.2
1908,1908-08-06,13,Brest to Caen,Flat,415.0,Georges Passerieu,Francia,83.0
1908,1908-08-09,14,Caen to Paris,Flat,251.0,Lucien Petit-Breton,Francia,50.2
1909,1909-07-05,1,Paris to Roubaix,Flat,272.0,Cyrille van Hauwaert,Bélgica,54.400000000000006
1909,1909-07-07,2,Roubaix to Metz,Flat,398.0,François Faber,Luxemburgo,79.60000000000001
1909,1909-07-09,3,Metz to Belfort,Mountain,259.0,François Faber,Luxemburgo,259.0
1909,1909-07-11,4,Belfort to Lyon,Mountain,309.0,François Faber,Luxemburgo,309.0
1909,1909-07-13,5,Lyon to Grenoble,Mountain,311.0,François Faber,Luxemburgo,311.0
1909,1909-07-15,6,Grenoble to Nice,Mountain,346.0,François Faber,Luxemburgo,346.0
1909,1909-07-17,7,Nice to Nîmes,Flat,345.0,Ernest Paul,Francia,69.0
1909,1909-07-19,8,Nîmes to Toulouse,Flat,303.0,Jean Alavoine,Francia,60.6
1909,1909-07-21,9,Toulouse to Bayonne,Flat,299.0,Constant Ménager,Francia,59.800000000000004
1909,1909-07-23,10,Bayonne to Bordeaux,Flat,269.0,François Faber,Luxemburgo,53.800000000000004
1909,1909-07-25,11,Bordeaux to Nantes,Flat,391.0,Louis Trousselier,Francia,78.2
1909,1909-07-27,12,Nantes to Brest,Flat,321.0,Gustave Garrigou,Francia,64.2
1909,1909-07-29,13,Brest to Caen,Flat,424.0,Paul Duboc,Francia,84.80000000000001
1909,1909-08-01,14,Caen to Paris,Flat,250.0,Jean Alavoine,Francia,50.0
1910,1910-07-03,1,Paris to Roubaix,Flat,269.0,Charles Crupelandt,Francia,53.800000000000004
1910,1910-07-05,2,Roubaix to Metz,Flat,398.0,François Faber,Luxemburgo,79.60000000000001
1910,1910-07-07,3,Metz to Belfort,Mountain,259.0,Emile Georget,Francia,259.0
1910,1910-07-09,4,Belfort to Lyon,Mountain,309.0,François Faber,Luxemburgo,309.0
1910,1910-07-11,5,Lyon to Grenoble,Mountain,311.0,Octave Lapize,Francia,311.0
1910,1910-07-13,6,Grenoble to Nice,Mountain,345.0,Julien Maitron,Francia,345.0
1910,1910-07-15,7,Nice to Nîmes,Flat,345.0,François Faber,Luxemburgo,69.0
1910,1910-07-17,8,Nîmes to Perpignan,Flat,216.0,Georges Paulmier,Francia,43.2
1910,1910-07-19,9,Perpignan to Luchon,Mountain,289.0,Octave Lapize,Francia,289.0
1910,1910-07-21,10,Luchon to Bayonne,Mountain,326.0,Octave Lapize,Francia,326.0
1910,1910-07-23,11,Bayonne to Bordeaux,Flat,269.0,Ernest Paul,Francia,53.800000000000004
1910,1910-07-25,12,Bordeaux to Nantes,Flat,391.0,Louis Trousselier,Francia,78.2
1910,1910-07-27,13,Nantes to Brest,Flat,321.0,Gustave Garrigou,Francia,64.2
1910,1910-07-29,14,Brest to Caen,Flat,424.0,Octave Lapize,Francia,84.80000000000001
1910,1910-07-31,15,Caen to Paris,Flat,262.0,Ernesto Azzini,Italia,52.400000000000006
1911,1911-07-02,1,Paris to Dunkerque,Flat,351.0,Gustave Garrigou,Francia,70.2
1911,1911-07-04,2,Dunkerque to Longwy,Flat,388.0,Jules Masselis,Bélgica,77.60000000000001
1911,1911-07-06,3,Longwy to Belfort,Mountain,331.0,François Faber,Luxemburgo,331.0
1911,1911-07-08,4,Belfort to Chamonix,Mountain,344.0,Charles Crupelandt,Francia,344.0
1911,1911-07-10,5,Chamonix to Grenoble,Mountain,366.0,Émile Georget,Francia,366.0
1911,1911-07-12,6,Grenoble to Nice,Mountain,348.0,François Faber,Luxemburgo,348.0
1911,1911-07-14,7,Nice to Marseille,Mountain,334.0,Charles Crupelandt,Francia,334.0
1911,1911-07-16,8,Marseille to Perpignan,Flat,335.0,Paul Duboc,Francia,67.0
1911,1911-07-18,9,Perpignan to Luchon,Mountain,289.0,Paul Duboc,Francia,289.0
1911,1911-07-20,10,Luchon to Bayonne,Mountain,326.0,Maurice Brocco,Francia,326.0
1911,1911-07-22,11,Bayonne to La Rochelle,Flat,379.0,Paul Duboc,Francia,75.8
1911,1911-07-23,12,La Rochelle to Brest,Flat,470.0,Marcel Godivier,Francia,94.0
1911,1911-07-26,13,Brest to Cherbourg-en-Cotentin,Flat,405.0,Gustave Garrigou,Francia,81.0
1911,1911-07-28,14,Cherbourg to Le Havre,Flat,361.0,Paul Duboc,Francia,72.2
1911,1911-07-30,15,Le Havre to Paris,Flat,317.0,Marcel Godivier,Francia,63.400000000000006
1912,1912-06-30,1,Paris to Dunkerque,Flat,351.0,Charles Crupelandt,Francia,70.2
1912,1912-07-02,2,Dunkerque to Longwy,Flat,388.0,Odile Defraye,Bélgica,77.60000000000001
1912,1912-07-04,3,Longwy to Belfort,Mountain,331.0,Eugène Christophe,Francia,331.0
1912,1912-07-06,4,Belfort to Chamonix,Mountain,344.0,Eugène Christophe,Francia,344.0
1912,1912-07-08,5,Chamonix to Grenoble,Mountain,366.0,Eugène Christophe,Francia,366.0
1912,1912-07-10,6,Grenoble to Nice,Mountain,323.0,Octave Lapize,Francia,323.0
1912,1912-07-12,7,Nice to Marseille,Mountain,334.0,Odile Defraye,Bélgica,334.0
1912,1912-07-14,8,Marseille to Perpignan,Flat,335.0,Vicenzo Borgarello,Italia,67.0
1912,1912-07-16,9,Perpignan to Luchon,Mountain,289.0,Odile Defraye,Bélgica,289.0
1912,1912-07-18,10,Luchon to Bayonne,Mountain,326.0,Louis Mottiat,Bélgica,326.0
1912,1912-07-20,11,Bayonne to La Rochelle,Flat,379.0,Jean Alavoine,Francia,75.8
1912,1912-07-21,12,La Rochelle to Brest,Flat,470.0,Louis Heusghem,Bélgica,94.0
1912,1912-07-24,13,Brest to Cherbourg-en-Cotentin,Flat,405.0,Jean Alavoine,Francia,81.0
1912,1912-07-26,14,Cherbourg to Le Havre,Flat,361.0,Vicenzo Borgarello,Italia,72.2
1912,1912-07-28,15,Le Havre to Paris,Flat,317.0,Jean Alavoine,Francia,63.400000000000006
1913,1913-06-29,1,Paris to Le Havre,Flat,388.0,Giovanni Micheletto,Italia,77.60000000000001
1913,1913-07-01,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Jules Masselis,Bélgica,72.8
1913,1913-07-03,3,Cherbourg to Brest,Flat,405.0,Henri Pelissier,Francia,81.0
1913,1913-07-05,4,Brest to La Rochelle,Flat,470.0,Marcel Buysse,Bélgica,94.0
1913,1913-07-07,5,La Rochelle to Bayonne,Flat,379.0,Henri Van Lerberghe,Bélgica,75.8
1913,1913-07-09,6,Bayonne to Luchon,Mountain,326.0,Philippe Thys,Bélgica,326.0
1913,1913-07-11,7,Luchon to Perpignan,Mountain,324.0,Marcel Buysse,Bélgica,324.0
1913,1913-07-13,8,Perpignan to Aix-en-Provence,Flat,325.0,Gustave Garrigou,Francia,65.0
1913,1913-07-15,9,Aix-en-Provence to Nice,Mountain,356.0,Firmin Lambot,Bélgica,356.0
1913,1913-07-17,10,Nice to Grenoble,Mountain,333.0,Francois Faber,Luxemburgo,333.0
1913,1913-07-19,11,Grenoble to Geneva,Mountain,325.0,Marcel Buysse,Bélgica,325.0
1913,1913-07-21,12,Geneva to Belfort,Mountain,335.0,Marcel Buysse,Bélgica,335.0
1913,1913-07-23,13,Belfort to Longwy,Mountain,325.0,François Faber,Luxemburgo,325.0
1913,1913-07-25,14,Longwy to Dunkerque,Flat,393.0,Marcel Buysse,Bélgica,78.60000000000001
1913,1913-07-27,15,Dunkerque to Paris,Flat,340.0,Marcel Buysse,Bélgica,68.0
1914,1914-06-28,1,Paris to Le Havre,Flat,388.0,Philippe Thys,Bélgica,77.60000000000001
1914,1914-06-30,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Jean Rossius,Bélgica,72.8
1914,1914-07-02,3,Cherbourg to Brest,Flat,405.0,Emile Engel,Francia,81.0
1914,1914-07-04,4,Brest to La Rochelle,Flat,470.0,Oscar Egg,Suiza,94.0
1914,1914-07-06,5,La Rochelle to Bayonne,Flat,376.0,Oscar Egg,Suiza,75.2
1914,1914-07-08,6,Bayonne to Luchon,Mountain,326.0,Firmin Lambot,Bélgica,326.0
1914,1914-07-10,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia,323.0
1914,1914-07-12,8,Perpignan to Marseille,Flat,370.0,Octave Lapize,Francia,74.0
1914,1914-07-14,9,Marseille to Nice,Mountain,338.0,Jean Rossius,Bélgica,338.0
1914,1914-07-16,10,Nice to Grenoble,Mountain,323.0,Henri Pélissier,Francia,323.0
1914,1914-07-18,11,Grenoble to Geneva,Mountain,325.0,Gustave Garrigou,Francia,325.0
1914,1914-07-20,12,Geneva to Belfort,Mountain,325.0,Henri Pélissier,Francia,325.0
1914,1914-07-22,13,Belfort to Longwy,Mountain,325.0,François Faber,Luxemburgo,325.0
1914,1914-07-24,14,Longwy to Dunkerque,Flat,390.0,François Faber,Luxemburgo,78.0
1914,1914-07-26,15,Dunkerque to Paris,Flat,340.0,Henri Pélissier,Francia,68.0
1919,1919-06-29,1,Paris to Le Havre,Flat,388.0,Jean Rossius,Bélgica,77.60000000000001
1919,1919-07-01,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Henri Pélissier,Francia,72.8
1919,1919-07-03,3,Cherbourg to Brest,Flat,405.0,Francis Pélissier,Francia,81.0
1919,1919-07-05,4,Brest to Les Sables-d'Olonne,Flat,412.0,Jean Alavoine,Francia,82.4
1919,1919-07-07,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Jean Alavoine,Francia,96.4
1919,1919-07-09,6,Bayonne to Luchon,Mountain,326.0,Honore Barthelemy,Francia,326.0
1919,1919-07-11,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia,323.0
1919,1919-07-13,8,Perpignan to Marseille,Flat,370.0,Jean Alavoine,Francia,74.0
1919,1919-07-15,9,Marseille to Nice,Mountain,338.0,Honoré Barthélemy,Francia,338.0
1919,1919-07-17,10,Nice to Grenoble,Mountain,333.0,Honoré Barthélemy,Francia,333.0
1919,1919-07-19,11,Grenoble to Geneva,Mountain,325.0,Honoré Barthélemy,Francia,325.0
1919,1919-07-21,12,Geneva to Strasbourg,Mountain,371.0,Luigi Lucotti,Italia,371.0
1919,1919-07-23,13,Strasbourg to Metz,Flat,315.0,Luigi Lucotti,Italia,63.0
1919,1919-07-25,14,Metz to Dunkerque,Flat,468.0,Firmin Lambot,Bélgica,93.60000000000001
1919,1919-07-27,15,Dunkerque to Paris,Flat,340.0,Jean Alavoine,Francia,68.0
1920,1920-06-27,1,Paris to Le Havre,Flat,388.0,Louis Mottiat,Bélgica,77.60000000000001
1920,1920-06-29,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Philippe Thys,Bélgica,72.8
1920,1920-07-01,3,Cherbourg to Brest,Flat,405.0,Henri Pélissier,Francia,81.0
1920,1920-07-03,4,Brest to Les Sables d'Olonne,Flat,412.0,Henri Pélissier,Francia,82.4
1920,1920-07-05,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Firmin Lambot,Bélgica,96.4
1920,1920-07-07,6,Bayonne to Luchon,Mountain,326.0,Firmin Lambot,Bélgica,326.0
1920,1920-07-09,7,Luchon to Perpignan,Mountain,323.0,Jean Rossius,Bélgica,323.0
1920,1920-07-11,8,Perpignan to Aix-en-Provence,Flat,325.0,Louis Heusghem,Bélgica,65.0
1920,1920-07-14,9,Aix-en-Provence to Nice,Mountain,356.0,Philippe Thys,Bélgica,356.0
1920,1920-07-16,10,Nice to Grenoble,Mountain,333.0,Hector Heusghem,Bélgica,333.0
1920,1920-07-18,11,Grenoble to Gex,Mountain,362.0,Léon Scieur,Bélgica,362.0
1920,1920-07-20,12,Gex to Strasbourg,Flat,354.0,Philippe Thys,Bélgica,70.8
1920,1920-07-22,13,Strasbourg to Metz,Flat,300.0,Philippe Thys,Bélgica,60.0
1920,1920-07-24,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia,86.60000000000001
1920,1920-07-27,15,Dunkerque to Paris,Flat,340.0,Jean Rossius,Bélgica,68.0
1921,1921-06-26,1,Paris to Le Havre,Flat,388.0,Louis Mottiat,Bélgica,77.60000000000001
1921,1921-06-28,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Romain Bellenger,Francia,72.8
1921,1921-06-30,3,Cherbourg to Brest,Flat,405.0,Leon Scieur,Bélgica,81.0
1921,1921-07-02,4,Brest to Les Sables-d'Olonne,Flat,412.0,Louis Mottiat,Bélgica,82.4
1921,1921-07-04,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Louis Mottiat,Bélgica,96.4
1921,1921-07-06,6,Bayonne to Luchon,Mountain,326.0,Hector Heusghem,Bélgica,326.0
1921,1921-07-08,7,Luchon to Perpignan,Mountain,323.0,Louis Mottiat,Bélgica,323.0
1921,1921-07-10,8,Perpignan to Toulon,Flat,411.0,Luigi Lucotti,Italia,82.2
1921,1921-07-12,9,Toulon to Nice,Mountain,272.0,Firmin Lambot,Bélgica,272.0
1921,1921-07-14,10,Nice to Grenoble,Mountain,333.0,Leon Scieur,Bélgica,333.0
1921,1921-07-16,11,Grenoble to Geneva,Mountain,325.0,Félix Goethals,Francia,325.0
1921,1921-07-18,12,Geneva to Strasbourg,Flat,371.0,Honoré Barthélemy,Francia,74.2
1921,1921-07-20,13,Strasbourg to Metz,Flat,300.0,Félix Sellier,Bélgica,60.0
1921,1921-07-22,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia,86.60000000000001
1921,1921-07-24,15,Dunkerque to Paris,Flat,340.0,Félix Goethals,Francia,68.0
1922,1922-06-25,1,Paris to Le Havre,Flat,388.0,Robert Jacquinot,Francia,77.60000000000001
1922,1922-06-27,2,Le Havre to Cherbourg-en-Cotentin,Flat,364.0,Romain Bellenger,Francia,72.8
1922,1922-06-29,3,Cherbourg to Brest,Flat,405.0,Robert Jacquinot,Francia,81.0
1922,1922-07-01,4,Brest to Les Sables d'Olonne,Flat,412.0,Philippe Thys,Bélgica,82.4
1922,1922-07-03,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Jean Alavoine,Francia,96.4
1922,1922-07-05,6,Bayonne to Luchon,Mountain,326.0,Jean Alavoine,Francia,326.0
1922,1922-07-07,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia,323.0
1922,1922-07-09,8,Perpignan to Toulon,Flat,411.0,Philippe Thys,Bélgica,82.2
1922,1922-07-11,9,Toulon to Nice,Mountain,284.0,Philippe Thys,Bélgica,284.0
1922,1922-07-13,10,Nice to Briançon,Mountain,274.0,Philippe Thys,Bélgica,274.0
1922,1922-07-15,11,Briançon to Geneva,Mountain,260.0,Emile Masson,Bélgica,260.0
1922,1922-07-17,12,Geneva to Strasbourg,Flat,371.0,Emile Masson,Bélgica,74.2
1922,1922-07-19,13,Strasbourg to Metz,Flat,300.0,Federico Gay,Italia,60.0
1922,1922-07-21,14,Metz to Dunkerque,Flat,433.0,Félix Sellier,Bélgica,86.60000000000001
1922,1922-07-23,15,Dunkerque to Paris,Flat,340.0,Philippe Thys,Bélgica,68.0
1923,1923-06-24,1,Paris to Le Havre,Flat,381.0,Robert Jacquinot,Francia,76.2
1923,1923-06-26,2,Le Havre to Cherbourg-en-Cotentin,Flat,371.0,Ottavio Bottecchia,Italia,74.2
1923,1923-06-28,3,Cherbourg to Brest,Flat,405.0,Henri Pélissier,Francia,81.0
1923,1923-06-30,4,Brest to Les Sables d'Olonne,Flat,412.0,Albert Dejonghe,Bélgica,82.4
1923,1923-07-02,5,Les Sables d'Olonne to Bayonne,Flat,482.0,Robert Jacquinot,Francia,96.4
1923,1923-07-04,6,Bayonne to Luchon,Mountain,326.0,Jean Alavoine,Francia,326.0
1923,1923-07-06,7,Luchon to Perpignan,Mountain,323.0,Jean Alavoine,Francia,323.0
1923,1923-07-08,8,Perpignan to Toulon,Flat,427.0,Lucien Buysse,Bélgica,85.4
1923,1923-07-10,9,Toulon to Nice,Mountain,281.0,Jean Alavoine,Francia,281.0
1923,1923-07-12,10,Nice to Briançon,Mountain,275.0,Henri Pélissier,Francia,275.0
1923,1923-07-14,11,Briançon to Geneva,Mountain,260.0,Henri Pélissier,Francia,260.0
1923,1923-07-16,12,Geneva to Strasbourg,Flat,377.0,Joseph Muller,Francia,75.4
1923,1923-07-18,13,Strasbourg to Metz,Flat,300.0,Romain Bellenger,Francia,60.0
1923,1923-07-20,14,Metz to Dunkerque,Flat,433.0,Félix Goethals,Francia,86.60000000000001
1923,1923-07-22,15,Dunkerque to Paris,Flat,343.0,Félix Goethals,Francia,68.60000000000001
1924,1924-06-22,1,Paris to Le Havre,Flat,381.0,Ottavio Bottecchia,Italia,76.2
1924,1924-06-24,2,Le Havre to Cherbourg-en-Cotentin,Flat,371.0,Romain Bellenger,Francia,74.2
1924,1924-06-26,3,Cherbourg to Brest,Flat,405.0,Philippe Thys (BEL) Théophile Beeckman,Bélgica,81.0
1924,1924-06-28,4,Brest to Les Sables-d'Olonne,Flat,412.0,Félix Goethals,Francia,82.4
1924,1924-06-30,5,Les Sables-d'Olonne to Bayonne,Flat,482.0,Omer Huyse,Bélgica,96.4
1924,1924-07-02,6,Bayonne to Luchon,Mountain,326.0,Ottavio Bottecchia,Italia,326.0
1924,1924-07-04,7,Luchon to Perpignan,Mountain,323.0,Ottavio Bottecchia,Italia,323.0
1924,1924-07-06,8,Perpignan to Toulon,Flat,427.0,Louis Mottiat,Bélgica,85.4
1924,1924-07-08,9,Toulon to Nice,Mountain,280.0,Philippe Thys,Bélgica,280.0
1924,1924-07-10,10,Nice to Briançon,Mountain,275.0,Giovanni Brunero,Italia,275.0
1924,1924-07-12,11,Briançon to Gex,Mountain,307.0,Nicolas Frantz,Luxemburgo,307.0
1924,1924-07-14,12,Gex to Strasbourg,Mountain,360.0,Nicolas Frantz,Luxemburgo,360.0
1924,1924-07-16,13,Strasbourg to Metz,Flat,300.0,Arsène Alancourt,Francia,60.0
1924,1924-07-18,14,Metz to Dunkerque,Flat,433.0,Romain Bellenger,Francia,86.60000000000001
1924,1924-07-20,15,Dunkerque to Paris,Flat,343.0,Ottavio Bottecchia,Italia,68.60000000000001
1925,1925-06-21,1,Paris to Le Havre,Flat,340.0,Ottavio Bottecchia,Italia,68.0
1925,1925-06-23,2,Le Havre to Cherbourg,Flat,371.0,Romain Bellenger,Francia,74.2
1925,1925-06-25,3,Cherbourg to Brest,Flat,405.0,Louis Mottiat,Bélgica,81.0
1925,1925-06-26,4,Brest to Vannes,Flat,208.0,Nicolas Frantz,Luxemburgo,41.6
1925,1925-06-27,5,Vannes to Les Sables-d'Olonne,Flat,204.0,Nicolas Frantz,Luxemburgo,40.800000000000004
1925,1925-06-28,6,Les Sables-d'Olonne to Bordeaux,Flat,293.0,Ottavio Bottecchia,Italia,58.6
1925,1925-06-29,7,Bordeaux to Bayonne,Flat,189.0,Ottavio Bottecchia,Italia,37.800000000000004
1925,1925-07-01,8,Bayonne to Luchon,Mountain,326.0,Adelin Benoît,Bélgica,326.0
1925,1925-07-03,9,Luchon to Perpignan,Mountain,323.0,Nicolas Frantz,Luxemburgo,323.0
1925,1925-07-04,10,Perpignan to Nîmes,Flat,215.0,Theophile Beeckman,Bélgica,43.0
1925,1925-07-05,11,Nîmes to Toulon,Flat,215.0,Lucien Buysse,Bélgica,43.0
1925,1925-07-07,12,Toulon to Nice,Mountain,280.0,Lucien Buysse,Bélgica,280.0
1925,1925-07-09,13,Nice to Briançon,Mountain,275.0,Bartolomeo Aimo,Italia,275.0
1925,1925-07-11,14,Briançon to Evian,Mountain,303.0,Hector Martin,Bélgica,303.0
1925,1925-07-13,15,Evian to Mulhouse,Mountain,373.0,Nicolas Frantz,Luxemburgo,373.0
1925,1925-07-15,16,Mulhouse to Metz,Flat,334.0,Hector Martin,Bélgica,66.8
1925,1925-07-17,17,Metz to Dunkerque,Flat,433.0,Hector Martin,Bélgica,86.60000000000001
1925,1925-07-19,18,Dunkerque to Paris,Flat,343.0,Ottavio Bottecchia,Italia,68.60000000000001
1926,1926-06-20,1,Evian to Mülhausen,Flat,373.0,Jules Buysse,Bélgica,74.60000000000001
1926,1926-06-22,2,Mülhausen to Metz,Flat,334.0,Aimé Dossche,Bélgica,66.8
1926,1926-06-24,3,Metz to Dunkerque,Flat,433.0,Gustaaf van Slembrouck,Bélgica,86.60000000000001
1926,1926-06-26,4,Dunkerque to Le Havre,Flat,361.0,Félix Sellier,Bélgica,72.2
1926,1926-06-28,5,Le Havre to Cherbourg-en-Cotentin,Flat,357.0,Adelin Benoit,Bélgica,71.4
1926,1926-06-30,6,Cherbourg to Brest,Flat,405.0,Joseph van Dam,Bélgica,81.0
1926,1926-07-02,7,Brest to Les Sables d'Olonne,Flat,412.0,Nicolas Frantz,Luxemburgo,82.4
1926,1926-07-03,8,Les Sables d'Olonne to Bordeaux,Flat,285.0,Joseph van Dam,Bélgica,57.0
1926,1926-07-04,9,Bordeaux to Bayonne,Flat,189.0,Nicolas Frantz,Luxemburgo,37.800000000000004
1926,1926-07-06,10,Bayonne to Luchon,Mountain,326.0,Lucien Buysse,Bélgica,326.0
1926,1926-07-08,11,Luchon to Perpignan,Mountain,323.0,Lucien Buysse,Bélgica,323.0
1926,1926-07-10,12,Perpignan to Toulon,Flat,427.0,Nicolas Frantz,Luxemburgo,85.4
1926,1926-07-12,13,Toulon to Nice,Flat,280.0,Nicolas Frantz,Luxemburgo,56.0
